match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,penaltyConceded,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,keyPass,shotOffTarget,dispossessed,bigChanceCreated,blockedScoringAttempt,penaltyWon
14147380,home,6226,FK Dečić Tuzi,1396431,Danilo Radošević,danilo-radosevic,G,25,False,31.0,25.0,14.0,9.0,0.0,17.0,19.0,6.0,10.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,4.0,0.0,90.0,35.0,6.5,5.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,2,1,0,1,80.64516129032258,64.28571428571429,,,0.0,,,,,,
14147380,home,6226,FK Dečić Tuzi,958574,Jonathan Dresaj,jonathan-dresaj,D,22,False,32.0,25.0,6.0,1.0,1.0,12.0,13.0,12.0,17.0,0.0,0.0,2.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,,,,,,,88.0,43.0,6.8,13.0,0.0,0.2,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,2,8,3,5,78.125,16.666666666666664,,,,1.0,,,,,
14147380,home,6226,FK Dečić Tuzi,1466922,Nikola Braunović,nikola-braunovic,D,29,False,56.0,44.0,15.0,10.0,0.0,26.0,30.0,17.0,24.0,0.0,0.0,2.0,2.0,6.0,6.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,12.0,0.0,0.0,2.0,0.0,0.0,,1.0,2.0,0.0,,,,,,,90.0,68.0,6.7,11.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,4,8,4,4,78.57142857142857,66.66666666666666,,100.0,,,,,,,
14147380,home,6226,FK Dečić Tuzi,1063206,Leon Ujkaj,leon-ujkaj,D,17,False,49.0,41.0,10.0,5.0,0.0,31.0,35.0,10.0,14.0,0.0,0.0,1.0,4.0,12.0,12.0,3.0,1.0,1.0,1.0,1.0,6.0,0.0,1.0,21.0,1.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,,,,,,,90.0,71.0,7.6,13.0,0.2,0.0,"{'original': 7.6, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",24,5,19,8,11,83.6734693877551,50.0,,100.0,,,,,,,
14147380,home,6226,FK Dečić Tuzi,1423517,Lazar Maraš,lazar-maras,D,18,False,30.0,21.0,7.0,4.0,0.0,14.0,18.0,7.0,12.0,3.0,2.0,1.0,0.0,7.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,,,,,,,66.0,40.0,6.5,11.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,1,6,70.0,57.14285714285714,66.66666666666666,50.0,,,,,,,
14147380,home,6226,FK Dečić Tuzi,1005614,Andrej Bajović,andrej-bajovic,M,14,False,40.0,32.0,6.0,4.0,0.0,18.0,19.0,12.0,17.0,0.0,0.0,1.0,4.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,15.0,1.0,1.0,0.0,0.0,0.0,,2.0,2.0,0.0,,,,,,,90.0,50.0,7.3,7.0,0.07,0.0,"{'original': 7.3, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,5,8,2,6,80.0,66.66666666666666,,,,,1.0,,,,
14147380,home,6226,FK Dečić Tuzi,1035792,Petar Sekulović,petar-sekulovic,M,20,False,44.0,34.0,9.0,3.0,1.0,22.0,25.0,11.0,18.0,0.0,0.0,2.0,2.0,11.0,8.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,,8.0,2.0,2.0,0.0,0.0,0.0,,2.0,2.0,0.0,,,,,,,84.0,51.0,7.0,15.0,0.0,0.1,"{'original': 7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,4,15,6,9,77.27272727272727,33.33333333333333,,,,2.0,,,,,
14147380,home,6225,FK Dečić Tuzi,1131064,Balša Radusinović,balsa-radusinovic,M,32,False,25.0,16.0,1.0,0.0,0.0,8.0,11.0,8.0,14.0,1.0,0.0,0.0,2.0,16.0,11.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,0.0,0.0,1.0,,1.0,0.0,0.0,,,,,,,90.0,47.0,6.7,10.0,0.06,0.0,"{'original': 6.7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",27,2,25,9,16,64.0,0.0,0.0,66.66666666666666,,1.0,1.0,,,,
14147380,home,6226,FK Dečić Tuzi,929112,Petar Pavlićević,petar-pavlicevic,M,74,False,31.0,23.0,3.0,1.0,1.0,8.0,10.0,15.0,20.0,1.0,0.0,2.0,1.0,13.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,6.0,2.0,1.0,0.0,0.0,0.0,,2.0,2.0,0.0,,,,,,,90.0,46.0,6.6,9.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",20,3,17,6,11,74.19354838709677,33.33333333333333,0.0,,,,,,,,
14147380,home,6226,FK Dečić Tuzi,325325,Ibrahima Mame Ndiaye,ibrahima-mame-ndiaye,M,72,False,11.0,8.0,1.0,0.0,0.0,2.0,3.0,5.0,7.0,0.0,0.0,3.0,3.0,7.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,,3.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,,,,,,,46.0,18.0,7.0,4.0,0.1,0.0,"{'original': 7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,6,5,1,4,72.72727272727273,0.0,,,,,,,,,
