match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,penaltyWon,keyPass,shotOffTarget,dispossessed,blockedScoringAttempt,bigChanceMissed
14147360,home,6216,OFK Petrovac,188987,Marko Kordić,marko-kordic,G,25,False,20.0,17.0,9.0,7.0,0.0,14.0,15.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,90.0,25.0,6.8,3.0,0.0,0.0,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,85.0,77.77777777777779,,,0.0,,,,,,
14147360,home,6216,OFK Petrovac,882142,Danilo Pešukić,danilo-pesukic,D,29,False,37.0,19.0,4.0,0.0,1.0,7.0,11.0,11.0,24.0,13.0,4.0,2.0,4.0,9.0,9.0,2.0,3.0,2.0,0.0,0.0,2.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,,,,,90.0,44.0,7.8,14.0,0.0,0.24,"{'original': 7.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,6,12,5,7,51.35135135135135,0.0,30.76923076923077,66.66666666666666,,1.0,3.0,,,,
14147360,home,6216,OFK Petrovac,1484679,Marko Franeta,marko-franeta,D,13,False,49.0,46.0,4.0,2.0,0.0,28.0,28.0,18.0,21.0,0.0,0.0,3.0,8.0,8.0,11.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,,,,,,,90.0,64.0,7.6,3.0,0.07,0.0,"{'original': 7.6, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,11,8,3,5,93.87755102040816,50.0,,,,,,,,,
14147360,home,6216,OFK Petrovac,57339,Dejan Boljević,dejan-boljevic,D,33,False,58.0,57.0,9.0,8.0,0.0,36.0,36.0,20.0,21.0,0.0,0.0,2.0,7.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,17.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,,,,,,,90.0,64.0,7.5,1.0,0.0,0.0,"{'original': 7.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,9,4,1,3,98.27586206896551,88.88888888888889,,,,,,,,,
14147360,home,5143,OFK Petrovac,1000577,Andrej Pupović,andrej-pupovic,D,30,False,32.0,22.0,6.0,2.0,0.0,6.0,9.0,16.0,23.0,4.0,0.0,0.0,0.0,5.0,5.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,90.0,44.0,6.8,12.0,0.0,0.0,"{'original': 6.8, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,0,10,5,5,68.75,33.33333333333333,0.0,100.0,,,1.0,1.0,,,
14147360,home,6216,OFK Petrovac,889063,Stefan Fićović,stefan-ficovic,M,18,False,34.0,24.0,7.0,2.0,0.0,10.0,12.0,11.0,19.0,1.0,0.0,1.0,4.0,12.0,10.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,16.0,1.0,1.0,0.0,0.0,1.0,3.0,5.0,0.0,,,,,,,90.0,47.0,6.8,13.0,0.11,0.0,"{'original': 6.8, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",22,5,17,6,11,70.58823529411765,28.57142857142857,0.0,,,,,1.0,1.0,1.0,
14147360,home,6216,OFK Petrovac,959010,Zaim Divanović,zaim-divanovic,M,23,False,54.0,44.0,9.0,6.0,0.0,18.0,18.0,25.0,35.0,1.0,0.0,0.0,0.0,3.0,9.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,,,,,,,90.0,86.0,7.2,10.0,0.02,0.0,"{'original': 7.2, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,0,12,9,3,81.48148148148148,66.66666666666666,0.0,100.0,,,,,,2.0,
14147360,home,6216,OFK Petrovac,800100,Nikola Zvrko,nikola-zvrko,M,7,False,15.0,11.0,1.0,1.0,0.0,4.0,4.0,7.0,11.0,3.0,0.0,1.0,0.0,6.0,3.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,59.0,25.0,6.4,8.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,1,8,3,5,73.33333333333333,100.0,0.0,75.0,,,,,,,
14147360,home,6216,OFK Petrovac,1381384,Nemanja Carević,nemanja-carevic,M,21,False,8.0,8.0,0.0,0.0,0.0,6.0,6.0,2.0,2.0,0.0,0.0,0.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,59.0,14.0,6.4,3.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,2,4,100.0,,,,,,,,,,
14147360,home,6216,OFK Petrovac,1046042,Savo Arambašić,savo-arambasic,M,17,False,30.0,15.0,4.0,2.0,0.0,7.0,9.0,8.0,19.0,8.0,2.0,1.0,2.0,11.0,13.0,1.0,9.0,9.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,3.0,2.0,2.0,1.0,,,,,,,90.0,57.0,7.3,18.0,0.07,0.0,"{'original': 7.3, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",24,3,21,11,10,50.0,50.0,25.0,100.0,,,,1.0,2.0,1.0,
