player,isHome,shotType,goalType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,goalkeeper,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates
"{'name': 'Andrija Majdevac', 'firstName': '', 'lastName': '', 'slug': 'andrija-majdevac', 'shortName': 'A. Majdevac', 'position': 'F', 'jerseyNumber': '11', 'userCount': 71, 'gender': 'M', 'id': 796223, 'fieldTranslations': {'nameTranslation': {'ar': 'أندريا ماجديفاك', 'bn': 'আন্দ্রিজা মাজদেভাক', 'hi': 'एंड्रीजा मजदेवैक'}, 'shortNameTranslation': {'ar': 'أ. ماجديفاك', 'bn': 'এ. মাজদেভাক', 'hi': 'ए. मजदेवैक'}}}",True,goal,regular,assisted,"{'x': 14.1, 'y': 42.3, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 53.5, 'z': 2.5}","{'name': 'Dimitrije Minić', 'firstName': 'Dimitrije Minić', 'slug': 'dimitrije-minic', 'shortName': 'D. Minic', 'position': 'G', 'jerseyNumber': '23', 'userCount': 26, 'gender': 'M', 'id': 1893331, 'fieldTranslations': {'nameTranslation': {'ar': 'ديميتريجي مينيك'}, 'shortNameTranslation': {'ar': 'د. مينيك'}}}",6808330,90,3.0,5571,"{'start': {'x': 42.3, 'y': 14.1}, 'end': {'x': 46.5, 'y': 0}, 'goal': {'x': 46.5, 'y': 97.5}}",1,729,171,shot,
"{'name': 'Kwaku Bonsu Osei Gaucho', 'firstName': '', 'lastName': '', 'slug': 'kwaku-bonsu-osei-gaucho', 'shortName': 'K. B. O. Gaucho', 'position': 'F', 'jerseyNumber': '20', 'userCount': 74, 'gender': 'M', 'id': 1009837, 'fieldTranslations': {'nameTranslation': {'ar': 'كواكو بونسو أوسي غاوتشو'}, 'shortNameTranslation': {'ar': 'ك. غاوتشو'}}}",False,miss,,regular,"{'x': 18.4, 'y': 52.1, 'z': 0}",right-foot,left,"{'x': 0, 'y': 61.5, 'z': 19.4}","{'name': 'Lazar Balević', 'firstName': 'Lazar Balevic', 'slug': 'lazar-balevic', 'shortName': 'L. Balević', 'position': 'G', 'jerseyNumber': '84', 'userCount': 103, 'gender': 'M', 'id': 1937361, 'fieldTranslations': {'nameTranslation': {'ar': 'لازار باليفيتش'}, 'shortNameTranslation': {'ar': 'ل. باليفيتش'}}}",6808322,90,3.0,5552,"{'start': {'x': 52.1, 'y': 18.4}, 'end': {'x': 38.5, 'y': 0}, 'goal': {'x': 38.5, 'y': 80.6}}",1,748,152,shot,
"{'name': 'Luka Drobnjak', 'firstName': 'Luka Drobnjak', 'lastName': '', 'slug': 'luka-drobnjak', 'shortName': 'L. Drobnjak', 'position': 'D', 'jerseyNumber': '77', 'userCount': 38, 'gender': 'M', 'id': 1165834, 'fieldTranslations': {'nameTranslation': {'ar': 'لوكا دروبنياك'}, 'shortNameTranslation': {'ar': 'ل. دروبنياك'}}}",True,miss,,corner,"{'x': 8, 'y': 59.1, 'z': 0}",head,right,"{'x': 0, 'y': 39.8, 'z': 9.7}","{'name': 'Dimitrije Minić', 'firstName': 'Dimitrije Minić', 'slug': 'dimitrije-minic', 'shortName': 'D. Minic', 'position': 'G', 'jerseyNumber': '23', 'userCount': 26, 'gender': 'M', 'id': 1893331, 'fieldTranslations': {'nameTranslation': {'ar': 'ديميتريجي مينيك'}, 'shortNameTranslation': {'ar': 'د. مينيك'}}}",6808313,90,1.0,5443,"{'start': {'x': 59.1, 'y': 8}, 'end': {'x': 60.2, 'y': 0}, 'goal': {'x': 60.2, 'y': 90.3}}",1,857,43,shot,
"{'name': 'Kwaku Bonsu Osei Gaucho', 'firstName': '', 'lastName': '', 'slug': 'kwaku-bonsu-osei-gaucho', 'shortName': 'K. B. O. Gaucho', 'position': 'F', 'jerseyNumber': '20', 'userCount': 74, 'gender': 'M', 'id': 1009837, 'fieldTranslations': {'nameTranslation': {'ar': 'كواكو بونسو أوسي غاوتشو'}, 'shortNameTranslation': {'ar': 'ك. غاوتشو'}}}",False,save,,fast-break,"{'x': 22.2, 'y': 64.2, 'z': 0}",right-foot,high-centre,"{'x': 0, 'y': 51.3, 'z': 20.3}","{'name': 'Lazar Balević', 'firstName': 'Lazar Balevic', 'slug': 'lazar-balevic', 'shortName': 'L. Balević', 'position': 'G', 'jerseyNumber': '84', 'userCount': 103, 'gender': 'M', 'id': 1937361, 'fieldTranslations': {'nameTranslation': {'ar': 'لازار باليفيتش'}, 'shortNameTranslation': {'ar': 'ل. باليفيتش'}}}",6808287,88,,5267,"{'start': {'x': 64.2, 'y': 22.2}, 'block': {'x': 57.8, 'y': 13.7}, 'end': {'x': 48.7, 'y': 0}, 'goal': {'x': 48.7, 'y': 79.7}}",3,133,2567,shot,"{'x': 13.7, 'y': 57.8, 'z': 0}"
"{'name': 'Leonardo Antonio', 'firstName': '', 'lastName': '', 'slug': 'leonardo-antonio', 'shortName': 'L. Antonio', 'position': 'M', 'jerseyNumber': '27', 'userCount': 23, 'gender': 'M', 'id': 1030841, 'fieldTranslations': {'nameTranslation': {'ar': 'ليوناردو أنطونيو'}, 'shortNameTranslation': {'ar': 'ل. أنطونيو'}}}",False,miss,,assisted,"{'x': 14.2, 'y': 31.5, 'z': 0}",right-foot,right,"{'x': 0, 'y': 40.5, 'z': 9.7}","{'name': 'Lazar Balević', 'firstName': 'Lazar Balevic', 'slug': 'lazar-balevic', 'shortName': 'L. Balević', 'position': 'G', 'jerseyNumber': '84', 'userCount': 103, 'gender': 'M', 'id': 1937361, 'fieldTranslations': {'nameTranslation': {'ar': 'لازار باليفيتش'}, 'shortNameTranslation': {'ar': 'ل. باليفيتش'}}}",6808183,79,,4694,"{'start': {'x': 31.5, 'y': 14.2}, 'end': {'x': 59.5, 'y': 0}, 'goal': {'x': 59.5, 'y': 90.3}}",12,706,1994,shot,
"{'name': 'Uroš Sremčević', 'slug': 'uros-sremcevic', 'shortName': 'U. Sremčević', 'position': 'F', 'jerseyNumber': '17', 'userCount': 1585, 'gender': 'M', 'id': 1166063, 'fieldTranslations': {'nameTranslation': {'ar': 'أوروش سريمشيفيتش'}, 'shortNameTranslation': {'ar': 'أ. سريمشيفيتش'}}}",True,miss,,assisted,"{'x': 9.5, 'y': 56.4, 'z': 0}",head,left,"{'x': 0, 'y': 60.8, 'z': 4.2}","{'name': 'Dimitrije Minić', 'firstName': 'Dimitrije Minić', 'slug': 'dimitrije-minic', 'shortName': 'D. Minic', 'position': 'G', 'jerseyNumber': '23', 'userCount': 26, 'gender': 'M', 'id': 1893331, 'fieldTranslations': {'nameTranslation': {'ar': 'ديميتريجي مينيك'}, 'shortNameTranslation': {'ar': 'د. مينيك'}}}",6808182,78,,4642,"{'start': {'x': 56.4, 'y': 9.5}, 'block': {'x': 46.6, 'y': 3.6}, 'end': {'x': 39.2, 'y': 0}, 'goal': {'x': 39.2, 'y': 95.8}}",13,758,1942,shot,"{'x': 3.6, 'y': 46.6, 'z': 0}"
"{'name': 'Uroš Sremčević', 'slug': 'uros-sremcevic', 'shortName': 'U. Sremčević', 'position': 'F', 'jerseyNumber': '17', 'userCount': 1585, 'gender': 'M', 'id': 1166063, 'fieldTranslations': {'nameTranslation': {'ar': 'أوروش سريمشيفيتش'}, 'shortNameTranslation': {'ar': 'أ. سريمشيفيتش'}}}",True,save,,assisted,"{'x': 11.9, 'y': 43.3, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 51.1, 'z': 5.7}","{'name': 'Dimitrije Minić', 'firstName': 'Dimitrije Minić', 'slug': 'dimitrije-minic', 'shortName': 'D. Minic', 'position': 'G', 'jerseyNumber': '23', 'userCount': 26, 'gender': 'M', 'id': 1893331, 'fieldTranslations': {'nameTranslation': {'ar': 'ديميتريجي مينيك'}, 'shortNameTranslation': {'ar': 'د. مينيك'}}}",6808173,76,,4540,"{'start': {'x': 43.3, 'y': 11.9}, 'block': {'x': 50.2, 'y': 1.2}, 'end': {'x': 48.9, 'y': 0}, 'goal': {'x': 48.9, 'y': 94.3}}",15,860,1840,shot,"{'x': 1.2, 'y': 50.2, 'z': 0}"
"{'name': 'Kwaku Bonsu Osei Gaucho', 'firstName': '', 'lastName': '', 'slug': 'kwaku-bonsu-osei-gaucho', 'shortName': 'K. B. O. Gaucho', 'position': 'F', 'jerseyNumber': '20', 'userCount': 74, 'gender': 'M', 'id': 1009837, 'fieldTranslations': {'nameTranslation': {'ar': 'كواكو بونسو أوسي غاوتشو'}, 'shortNameTranslation': {'ar': 'ك. غاوتشو'}}}",False,block,,regular,"{'x': 14.7, 'y': 45.7, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50.5, 'z': 19}","{'name': 'Lazar Balević', 'firstName': 'Lazar Balevic', 'slug': 'lazar-balevic', 'shortName': 'L. Balević', 'position': 'G', 'jerseyNumber': '84', 'userCount': 103, 'gender': 'M', 'id': 1937361, 'fieldTranslations': {'nameTranslation': {'ar': 'لازار باليفيتش'}, 'shortNameTranslation': {'ar': 'ل. باليفيتش'}}}",6808171,75,,4482,"{'start': {'x': 45.7, 'y': 14.7}, 'block': {'x': 46.4, 'y': 12}, 'end': {'x': 49.5, 'y': 0}, 'goal': {'x': 49.5, 'y': 81}}",16,918,1782,shot,"{'x': 12, 'y': 46.4, 'z': 0}"
"{'name': 'Stefan Tomović', 'firstName': 'Stefan Tomovic', 'slug': 'stefan-tomovic', 'shortName': 'S. Tomović', 'position': 'M', 'jerseyNumber': '70', 'userCount': 86, 'gender': 'M', 'id': 1063371, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان توموفيتش', 'bn': 'স্টেফান তোমোভিচ', 'hi': 'स्टीफ़न टॉमोविक'}, 'shortNameTranslation': {'ar': 'س. توموفيتش', 'bn': 'এস. তোমোভিচ', 'hi': 'एस. टॉमोविक'}}}",False,block,,fast-break,"{'x': 8.8, 'y': 53.6, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 48.2, 'z': 19}","{'name': 'Lazar Balević', 'firstName': 'Lazar Balevic', 'slug': 'lazar-balevic', 'shortName': 'L. Balević', 'position': 'G', 'jerseyNumber': '84', 'userCount': 103, 'gender': 'M', 'id': 1937361, 'fieldTranslations': {'nameTranslation': {'ar': 'لازار باليفيتش'}, 'shortNameTranslation': {'ar': 'ل. باليفيتش'}}}",6808170,75,,4474,"{'start': {'x': 53.6, 'y': 8.8}, 'block': {'x': 53.2, 'y': 7.1}, 'end': {'x': 51.8, 'y': 0}, 'goal': {'x': 51.8, 'y': 81}}",16,926,1774,shot,"{'x': 7.1, 'y': 53.2, 'z': 0}"
"{'name': 'Vasil Tasovski', 'firstName': 'Vasil Tasovski', 'slug': 'vasil-tasovski', 'shortName': 'V. Tasovski', 'position': 'M', 'jerseyNumber': '91', 'userCount': 17, 'gender': 'M', 'id': 1982084, 'fieldTranslations': {'nameTranslation': {'ar': 'فاسيل تاسوفسكي'}, 'shortNameTranslation': {'ar': 'ف. تاسوفسكي'}}}",True,miss,,assisted,"{'x': 14.8, 'y': 39.9, 'z': 0}",right-foot,close-high,"{'x': 0, 'y': 45, 'z': 52.8}","{'name': 'Dimitrije Minić', 'firstName': 'Dimitrije Minić', 'slug': 'dimitrije-minic', 'shortName': 'D. Minic', 'position': 'G', 'jerseyNumber': '23', 'userCount': 26, 'gender': 'M', 'id': 1893331, 'fieldTranslations': {'nameTranslation': {'ar': 'ديميتريجي مينيك'}, 'shortNameTranslation': {'ar': 'د. مينيك'}}}",6808057,65,,3845,"{'start': {'x': 39.9, 'y': 14.8}, 'end': {'x': 55, 'y': 0}, 'goal': {'x': 55, 'y': 47.2}}",26,1555,1145,shot,
"{'name': 'Nikola Vukajlović', 'firstName': 'Nikola', 'lastName': 'Vukajlović', 'slug': 'nikola-vukajlovic', 'shortName': 'N. Vukajlović', 'position': 'D', 'jerseyNumber': '7', 'userCount': 16, 'gender': 'M', 'id': 937992, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا فوكاجلوفيتش'}, 'shortNameTranslation': {'ar': 'ن. فوكاجلوفيتش'}}}",True,miss,,assisted,"{'x': 20.9, 'y': 38.7, 'z': 0}",left-foot,right,"{'x': 0, 'y': 37.3, 'z': 5.6}","{'name': 'Dimitrije Minić', 'firstName': 'Dimitrije Minić', 'slug': 'dimitrije-minic', 'shortName': 'D. Minic', 'position': 'G', 'jerseyNumber': '23', 'userCount': 26, 'gender': 'M', 'id': 1893331, 'fieldTranslations': {'nameTranslation': {'ar': 'ديميتريجي مينيك'}, 'shortNameTranslation': {'ar': 'د. مينيك'}}}",6808011,61,,3642,"{'start': {'x': 38.7, 'y': 20.9}, 'end': {'x': 62.7, 'y': 0}, 'goal': {'x': 62.7, 'y': 94.4}}",30,1758,942,shot,
"{'name': 'Lincoln', 'slug': 'lincoln', 'shortName': 'Lincoln', 'position': 'F', 'jerseyNumber': '9', 'userCount': 613, 'gender': 'M', 'id': 905454, 'fieldTranslations': {'nameTranslation': {'ar': 'لينكولن'}, 'shortNameTranslation': {'ar': 'لينكولن'}}}",False,goal,regular,assisted,"{'x': 6.6, 'y': 53, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 53.6, 'z': 1.9}","{'name': 'Lazar Balević', 'firstName': 'Lazar Balevic', 'slug': 'lazar-balevic', 'shortName': 'L. Balević', 'position': 'G', 'jerseyNumber': '84', 'userCount': 103, 'gender': 'M', 'id': 1937361, 'fieldTranslations': {'nameTranslation': {'ar': 'لازار باليفيتش'}, 'shortNameTranslation': {'ar': 'ل. باليفيتش'}}}",6807970,55,,3281,"{'start': {'x': 53, 'y': 6.6}, 'end': {'x': 46.4, 'y': 0}, 'goal': {'x': 46.4, 'y': 98.1}}",36,2119,581,shot,
"{'name': 'Lincoln', 'slug': 'lincoln', 'shortName': 'Lincoln', 'position': 'F', 'jerseyNumber': '9', 'userCount': 613, 'gender': 'M', 'id': 905454, 'fieldTranslations': {'nameTranslation': {'ar': 'لينكولن'}, 'shortNameTranslation': {'ar': 'لينكولن'}}}",False,save,,assisted,"{'x': 19.4, 'y': 35.8, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 47.7, 'z': 8.2}","{'name': 'Lazar Balević', 'firstName': 'Lazar Balevic', 'slug': 'lazar-balevic', 'shortName': 'L. Balević', 'position': 'G', 'jerseyNumber': '84', 'userCount': 103, 'gender': 'M', 'id': 1937361, 'fieldTranslations': {'nameTranslation': {'ar': 'لازار باليفيتش'}, 'shortNameTranslation': {'ar': 'ل. باليفيتش'}}}",6807883,48,,2870,"{'start': {'x': 35.8, 'y': 19.4}, 'block': {'x': 48.6, 'y': 2}, 'end': {'x': 52.3, 'y': 0}, 'goal': {'x': 52.3, 'y': 91.8}}",43,2530,170,shot,"{'x': 2, 'y': 48.6, 'z': 0}"
"{'name': 'Nikola Bogdanovski', 'firstName': 'Nikola', 'lastName': 'Bogdanovski', 'slug': 'nikola-bogdanovski', 'shortName': 'N. Bogdanovski', 'position': 'M', 'jerseyNumber': '33', 'userCount': 16, 'gender': 'M', 'id': 956793, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا بوغدانوفيسكي'}, 'shortNameTranslation': {'ar': 'ن. بوغدانوفيسكي'}}}",True,miss,,assisted,"{'x': 24, 'y': 38, 'z': 0}",right-foot,close-left,"{'x': 0, 'y': 58.8, 'z': 6.9}","{'name': 'Dimitrije Minić', 'firstName': 'Dimitrije Minić', 'slug': 'dimitrije-minic', 'shortName': 'D. Minic', 'position': 'G', 'jerseyNumber': '23', 'userCount': 26, 'gender': 'M', 'id': 1893331, 'fieldTranslations': {'nameTranslation': {'ar': 'ديميتريجي مينيك'}, 'shortNameTranslation': {'ar': 'د. مينيك'}}}",6807882,46,,2724,"{'start': {'x': 38, 'y': 24}, 'end': {'x': 41.2, 'y': 0}, 'goal': {'x': 41.2, 'y': 93.1}}",45,2676,24,shot,
